id,city_id,name,url_name,color,system_id,transport_mode_id
43,4,Línea 2,43-linea-2,#ffbe2e,267,4
2080,22,Mumbai -Ahmedabad,2080-mumbai--ahmedabad,#3ab22b,685,1
2096,22,MMC,2096-mmc,#000,687,3
2101,217,WES Commuter Rail,2101-wes-commuter-rail,#585858,202,3
1471,91,Tokaido Shinkansen,1471-tokaido-shinkansen,#0000ff,551,1
5,1,A,a,#39b3d8,254,4
6,1,B,b,#e84736,254,4
7,1,C,c,#006ca8,254,4
8,1,D,d,#007968,254,4
1615,259,1,1615-1,#000,244,9
610,118,22A,610-22a,#4a90e2,347,0
2102,217,Portland Aerial Tram,2102-portland-aerial-tram,#ffee3b,688,7
2103,217,North South Line,2103-north-south-line,#7ed321,689,9
2104,217,A Loop,2104-a-loop,#e0108b,689,9
1710,110,25,1710-25,#00aaad,644,5
1711,110,26,1711-26,#00aaad,644,5
2043,342,19M,2043-19m,#d0021b,663,8
2105,217,B Loop,2105-b-loop,#409ec3,689,9
2044,342,16A,2044-16a,#d0021b,663,8
2045,342,14B,2045-14b,#d0021b,663,8
2106,108,Changi Airport Skytrain,2106-changi-airport-skytrain,#feca37,690,7
2107,108,Sentosa Express,2107-sentosa-express,#f07d00,691,7
2048,342,19Y,2048-19y,#d0021b,663,8
2117,73,Line 9,2117-line-9,#800000,695,4
2049,342,320,2049-320,#d0021b,663,8
2050,342,16F,2050-16f,#d0021b,663,8
2127,131,Atlanta Streetcar,2127-atlanta-streetcar,#003baf,124,9
1779,59,TJ koridor 1,1779-tj-koridor-1,#cf1d24,51,6
2128,245,TECO Line,2128-teco-line,#ab0015,230,9
2052,59,M1,2052-m1-phase-1,#ce0037,675,4
2070,59,M2,2070-m2-phase-3,#f1c400,675,4
219,110,14,219-red-line,#d0021b,257,4
2143,27,8,2143-8,#4a90e2,706,5
2055,59,Central Line,2055-central-line,#dc143c,676,4
2054,59,Cikarang Line,2054-cikarang-line,#0058a5,676,4
2053,59,Loop Line,2053-loop-line,#ffba00,676,4
2058,59,Tanjung Priok Line,2058-tanjung-priok-line,#ffcbdb,676,4
2057,59,Tangerang Line,2057-tangerang-line,#964b00,676,4
2144,27,9,2144-9,#bd10e0,706,5
10,1,H,h,#a1e350,254,4
11,1,Premetro,p,#f84fb6,254,9
2056,59,Rangkas Bitung Line,2056-rangkas-bitung-line,#006400,676,4
2065,120,M1,2065-m1,#1f02e7,105,3
45,4,Línea 4,45-linea-4,#292d91,267,4
40,4,Línea 4A,40-linea-4a,#0099ff,267,4
46,4,Línea 5,46-linea-5,#006633,267,4
60,4,Línea 6,60-linea-6,#8e16a1,267,4
70,4,MetroTren Nos,70-nos-express,#000000,268,3
223,110,12,223-nockebybanan,#385369,476,5
227,79,M1,227-m1,#ee2e24,67,4
217,4,Ramal San Felipe - Putaendo,217-ramal-san-felipe---putaendo,#000,276,2
225,79,M5,225-m5,#b17aea,67,4
2066,120,M2,2066-m2,#e50e0e,105,3
42,4,Línea 1 ,42-linea-1-,#cc0000,267,4
2067,59,Line A (Phase 2) (Planned),2067-line-a-(phase-2)-(planned),#f39700,662,5
72,4,FFCC Llano del Maipo,72-ffcc-llanos-del-maipo,#f8e71c,478,9
73,4,FFCC Yungay-Barrancas,73-ffcc-yungay---barranas,#f8e71c,478,9
